id,students,teachers,level,geoid
10000500870,890,45,M,010950309021
10000500871,1712,85,H,010950309021
10000500879,874,43,EM,010950309031
10000500889,874,43,E,010950309022
10000501616,606,26,PE,010950308013
10000502150,944,61,E,010950309022
10000600193,364,22,EM,010950302021
10000600872,664,34,MH,010950301002
10000600877,461,25,E,010950310002
10000600878,674,34,H,010950310002
10000600880,236,11,E,010950305002
10000600883,394,23,H,010950302021
10000600887,227,13,PE,010950303005
10000601413,596,34,PE,010950310002
10000601585,553,30,MH,010950305001
10000601685,585,36,PE,010950302021
10000601812,496,26,M,010950310002
10000602209,701,38,PE,010950301002
10000700091,788,51,PE,010730144101
10000700248,424,31,PE,011170302161
10000700251,2841,181,H,010730144101
10000700337,1113,75,M,011170303033
10000700342,568,36,PE,010730142046
10000701422,1128,75,M,011170303341
10000701456,1503,99,H,011170303033
10000701483,740,48,PE,010730144131
10000701738,581,40,PE,010730144122
10000701739,476,36,PE,010730144091
10000701740,515,41,PE,010730144062
10000701741,882,68,M,010730144133
10000701742,573,43,PE,010730129073
10000701743,330,23,PE,010730144052
10000702091,603,44,PE,011170303333
10000702186,492,33,E,010730142043
10000800303,547,36,PE,010890110221
10000800495,1334,80,M,010890110112
10000800831,1920,109,H,010890110143
10000800839,505,36,PE,010890110212
10000800851,999,55,PE,010890110143
10000801423,876,46,E,010890110141
10000801485,926,52,PE,010890110121
10000801798,1493,78,M,010890110111
10000802097,784,46,PE,010890110113
10000802133,940,60,PE,010890110212
10000802198,2149,119,H,010830212002
10001102094,625,29,E,010730110014
10001102095,470,26,M,010730110021
10001102096,619,35,H,010730110021
10001102430,509,30,PE,010730110021
10001200123,518,33,M,010950312001
10001200874,714,42,H,010950312001
10001200884,338,20,E,010950311002
10001201630,378,16,E,010950312001
10001201781,523,28,PE,010950311002
10001300714,1202,62,M,010730111093
10001301498,1350,84,PE,010730111091
10001301682,1573,94,H,010730111093
10001302401,403,28,E,010730111074
10001302402,537,35,E,010730111092
10003000001,459,27,M,011239623001
10003000003,812,52,H,011239623001
10003000004,772,43,PE,011239623002
