# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=CA year=2020 level=county week=2020-09-27
# columns: FIPS beds icu_beds n_hospitals
55
6001 2574 257 13
6005 51 6 1
6007 421 38 3
6009 40 11 1
6011 27 0 1
6013 1249 160 7
6015 52 6 1
6017 121 16 2
6019 1498 147 8
6021 47 0 1
6023 196 16 4
6025 202 22 2
6027 29 4 2
6029 992 138 10
6031 173 28 1
6033 55 9 2
6035 27 0 1
6037 18034 2201 85
6039 80 10 1
6041 279 30 4
6043 10 0 1
6045 128 16 3
6047 227 24 2
6049 12 0 2
6051 17 0 1
6053 616 43 4
6055 194 27 2
6057 107 10 2
6059 4790 536 28
6061 738 82 3
6063 35 0 3
6065 2911 344 17
6067 2279 304 10
6069 25 4 1
6071 3413 409 20
6073 5826 615 19
6075 1873 254 10
6077 1101 132 7
6079 387 43 4
6081 680 76 6
6083 648 99 5
6085 3000 424 8
6087 328 22 3
6089 521 48 5
6093 54 8 2
6095 518 51 4
6097 509 50 7
6099 1041 96 6
6103 54 8 1
6105 25 0 1
6107 488 55 4
6109 84 6 1
6111 1203 113 8
6113 152 14 2
6115 221 24 1
