# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
2448
1001 89 6 1
1003 375 32 3
1005 43 5 1
1007 30 0 1
1009 44 6 1
1011 61 0 1
1013 39 7 1
1015 278 21 3
1017 25 0 1
1019 45 0 1
1021 35 6 1
1023 28 0 1
1025 96 0 3
1027 41 4 1
1031 60 9 1
1033 287 18 2
1035 29 0 1
1039 96 13 2
1041 32 0 1
1043 161 11 1
1045 48 5 1
1047 107 10 1
1049 65 8 1
1051 76 0 2
1053 102 14 2
1055 363 52 2
1057 26 0 1
1059 51 6 2
1061 57 6 1
1063 10 0 1
1065 21 0 1
1069 595 64 3
1071 77 10 1
1073 3721 517 11
1077 228 40 1
1079 32 0 1
1081 276 28 1
1083 129 10 2
1089 1274 119 2
1091 57 5 1
1093 67 4 2
1095 166 19 1
1097 1518 168 6
1099 47 8 1
1101 956 102 4
1103 258 19 1
1109 52 9 1
1111 16 0 1
1113 38 8 1
1115 44 6 1
1117 205 32 1
1119 31 0 1
1121 140 16 2
1123 74 6 2
1125 519 58 2
1127 157 12 1
1129 28 0 1
1131 21 0 1
1133 49 0 1
2020 541 55 3
2080 13 0 1
2090 81 13 1
2110 133 9 1
2120 75 9 2
2130 25 4 1
2150 25 0 1
2170 160 14 1
2210 6 0 1
2260 4 0 1
2280 12 0 1
4001 18 0 1
4003 130 20 4
4005 262 41 2
4007 76 11 2
4009 35 6 1
4012 35 0 1
4013 9645 1170 40
4015 527 66 4
4017 137 23 2
4019 1844 289 11
4021 269 40 3
4023 10 0 1
4025 263 48 2
4027 260 42 1
5001 307 0 3
5003 25 6 1
5005 245 19 2
5007 276 33 3
5009 64 12 1
5011 25 0 1
5015 36 0 2
5017 25 0 1
5019 20 0 1
5021 25 0 1
5023 12 0 1
5027 26 4 1
5029 25 0 1
5031 446 74 2
5033 12 0 1
5035 22 0 1
5037 17 0 1
5039 25 0 1
5041 41 0 2
5043 49 8 1
5045 199 37 2
5047 15 0 1
5049 25 0 1
5051 391 39 4
5055 95 10 1
5057 46 8 1
5059 26 0 1
5061 12 0 1
5063 124 13 1
5065 10 0 1
5067 52 0 1
5069 226 18 1
5071 42 5 1
5081 25 0 1
5083 38 0 2
5093 70 0 2
5103 32 4 1
5107 24 0 1
5113 26 4 1
5115 110 11 1
5119 2383 348 10
5121 40 0 1
5123 58 6 1
5125 202 25 2
5127 17 0 1
5131 542 72 4
5137 25 0 1
5139 52 13 1
5141 25 0 1
5143 610 88 5
5145 205 27 2
5149 66 0 2
6001 2589 242 13
6005 53 6 1
6007 445 38 3
6009 42 8 1
6011 30 0 1
6013 1182 148 7
6015 53 6 1
6017 111 10 2
6019 1633 170 8
6021 47 0 1
6023 204 21 4
6025 217 32 2
6027 29 0 2
6029 966 122 10
6031 147 13 1
6033 52 8 2
6035 25 0 1
6037 17158 1963 84
6039 80 10 1
