131 15920
ABQ AEX 290
ABQ ALB 2080
ABQ ANC 3390
ABQ ATL 13450
ABQ ATW 320
ABQ AUS 19830
ABQ BDL 2650
ABQ BGR 100
ABQ BHM 2330
ABQ BIL 870
ABQ BIS 480
ABQ BNA 7300
ABQ BOI 3750
ABQ BOS 8300
ABQ BTV 650
ABQ BWI 14830
ABQ BZN 1330
ABQ CAE 1020
ABQ CAK 210
ABQ CHS 2060
ABQ CLE 3410
ABQ CLT 4820
ABQ CMH 3870
ABQ COS 520
ABQ CRP 1110
ABQ CRW 280
ABQ CVG 2390
ABQ DAY 1720
ABQ DCA-IAD 16890
ABQ DEN 38150
ABQ DFW-DAL 50040
ABQ DIK 60
ABQ DSM 1870
ABQ DTW 6200
ABQ ECP 1480
ABQ EWR 6220
ABQ FAI 770
ABQ FAR 700
ABQ FAT 1370
ABQ FCA 700
ABQ FLL-MIA 11300
ABQ FSD 850
ABQ FWA 360
ABQ GEG 3860
ABQ GFK 30
ABQ GRR 2420
ABQ GSO 950
ABQ GTF 740
ABQ HNL 3700
ABQ HOU-IAH 27890
ABQ HRL 940
ABQ ICT 920
ABQ IDA 660
ABQ ILM 610
ABQ IND 4400
ABQ JAN 620
ABQ JAX 3390
ABQ JFK-LGA 17610
ABQ JNU 260
ABQ KOA-ITO 1260
ABQ LAS 44390
ABQ LAX-BUR 44900
ABQ LBB 180
ABQ LEX 780
ABQ LIH 950
ABQ LIT 1660
ABQ MAF 430
ABQ MCI 9030
ABQ MCO 15490
ABQ MDT 830
ABQ MEM 2380
ABQ MFE 740
ABQ MFR 970
ABQ MKE-MS 3220
ABQ MOB 530
ABQ MOT 400
ABQ MSO 1090
ABQ MSP 8850
ABQ MSY 6140
ABQ MYR 430
ABQ OAK 17050
ABQ OGG 2130
ABQ OKC 1930
ABQ OMA 2980
ABQ ONT 5660
ABQ ORD-MDW 20360
ABQ ORF 2850
ABQ PBI 1480
ABQ PDX 17430
ABQ PHL 6530
ABQ PHX 58030
ABQ PIT 3740
ABQ PNS 2490
ABQ PSP 1280
ABQ PVD 1580
ABQ PWM 1030
ABQ RAP 680
ABQ RDU 5420
ABQ RIC 2040
ABQ RNO 4670
ABQ ROA 420
ABQ ROC 1160
