fipstate,naics,emp,est,n<5,e<5,n5_9,e5_9,n10_19,e10_19,n20_49,e20_49,n50_99,e50_99,n100_249,e100_249,n250_499,e250_499,n500_999,e500_999,n1000,e1000
01,11,6412,796,429,789,200,1356,110,1403,43,1274,8,520,5,810,0,0,0,0,0,0
01,113,4074,572,283,581,162,1097,91,1138,30,887,6,371,0,0,0,0,0,0,0,0
01,1131,278,58,40,70,11,81,6,75,0,0,0,0,0,0,0,0,0,0,0,0
01,11311,278,58,40,70,11,81,6,75,0,0,0,0,0,0,0,0,0,0,0,0
01,113110,278,58,40,70,11,81,6,75,0,0,0,0,0,0,0,0,0,0,0,0
01,1132,44,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,11321,44,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,113210,44,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,1133,3752,507,240,506,149,1002,83,1038,29,835,6,371,0,0,0,0,0,0,0,0
01,11331,3752,507,240,506,149,1002,83,1038,29,835,6,371,0,0,0,0,0,0,0,0
01,113310,3752,507,240,506,149,1002,83,1038,29,835,6,371,0,0,0,0,0,0,0,0
01,114,122,25,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,1141,18,15,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,11411,18,15,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,114111,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,114112,17,12,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,1142,104,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,11421,104,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,114210,104,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,115,2216,199,125,181,37,251,18,253,11,312,0,0,5,810,0,0,0,0,0,0
01,1151,1074,41,20,26,6,43,7,92,3,93,0,0,0,0,0,0,0,0,0,0
01,11511,1074,41,20,26,6,43,7,92,3,93,0,0,0,0,0,0,0,0,0,0
01,115111,117,14,3,2,5,34,6,81,0,0,0,0,0,0,0,0,0,0,0,0
01,115112,48,13,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,115114,494,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,115115,411,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,1152,326,45,36,60,0,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0
01,11521,326,45,36,60,0,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0
01,115210,326,45,36,60,0,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0
01,1153,816,113,69,95,29,193,5,72,8,219,0,0,0,0,0,0,0,0,0,0
01,11531,816,113,69,95,29,193,5,72,8,219,0,0,0,0,0,0,0,0,0,0
01,115310,816,113,69,95,29,193,5,72,8,219,0,0,0,0,0,0,0,0,0,0
01,21,6062,203,74,121,30,223,44,604,31,969,13,884,6,925,4,1531,0,0,0,0
01,211,265,22,10,20,4,26,4,40,0,0,0,0,0,0,0,0,0,0,0,0
01,2111,265,22,10,20,4,26,4,40,0,0,0,0,0,0,0,0,0,0,0,0
01,21112,79,15,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,211120,79,15,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,21113,186,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,211130,186,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,212,4576,114,25,43,21,170,31,436,23,746,7,491,0,0,4,1531,0,0,0,0
01,2121,2814,22,3,7,0,0,0,0,7,238,0,0,0,0,3,1243,0,0,0,0
01,21211,2814,22,3,7,0,0,0,0,7,238,0,0,0,0,3,1243,0,0,0,0
01,212111,653,14,3,7,0,0,0,0,4,135,0,0,0,0,0,0,0,0,0,0
01,212112,2161,8,0,0,0,0,0,0,3,103,0,0,0,0,3,1243,0,0,0,0
